,1990,1991,1992,2000,2001,2002,2010,2011,2012,2020,2021,2022
1990,,0.06216063270417406,0.0984236234416079,0.056970869149916746,0.09804231057507992,0.0600324148926764,0.05158883411598977,0.03786369357144752,0.06322108800841293,0.08228068277592904,0.06493675096739626,0.06380106881480965
1991,,,0.0559557265807694,0.034802351457811,0.05755401497493731,0.04897581536572869,0.03574122070146098,0.024079624758935107,0.038121715205798934,0.05953851126357883,0.0631053561035576,0.05396634001719926
1992,,,,0.059372462889471504,0.1161173544400992,0.06608930018019915,0.06992293543422355,0.03256811415777435,0.06433388517369298,0.09942944783761855,0.08146135230668035,0.056486874172004785
2000,,,,,0.06851569768934626,0.04088109340277758,0.05307269522777969,0.030737833829387728,0.05171457644040493,0.06856548044688546,0.06649532515238019,0.04662540669762436
2001,,,,,,0.07016781291849047,0.06842746694017378,0.04616145057504212,0.09366153939146199,0.09827561592734949,0.12760031751067194,0.08227924555373517
2002,,,,,,,0.05346086110017433,0.03725419482163334,0.11894350363496166,0.07807388691959737,0.07501466368689325,0.09408263909017564
2010,,,,,,,,0.03749418652552792,0.05628260946354362,0.07705554839088816,0.06683816535257253,0.054795105249202156
2011,,,,,,,,,0.044335836827683106,0.047929251213529804,0.05417555550218462,0.035995351807408135
2012,,,,,,,,,,0.09579981427570389,0.09405749990137467,0.06436794433579882
2020,,,,,,,,,,,0.14141167037476168,0.0933423997162724
2021,,,,,,,,,,,,0.11657870659087076
2022,,,,,,,,,,,,
